'Elapsed time','MLII','V1',
'hh:mm:ss.mmm','mV','mV',
'12:30.000',-0.365,0.175,11111111100010000110000
'12:30.003',-0.37,0.185,11111111100001101100000
'12:30.006',-0.345,0.2,11111111100011101110000
'12:30.008',-0.35,0.18,11111111100011010100000
'12:30.011',-0.375,0.19,11111111100001010000000
'12:30.014',-0.37,0.175,11111111100001101100000
'12:30.017',-0.39,0.185,11111111100000000010000
'12:30.019',-0.38,0.195,11111111100000110110000
'12:30.022',-0.37,0.195,11111111100001101100000
'12:30.025',-0.375,0.195,11111111100001010000000
'12:30.028',-0.375,0.17,11111111100001010000000
'12:30.031',-0.4,0.16,11111111011111001110000
'12:30.033',-0.42,0.175,11111111011101100100000
'12:30.036',-0.42,0.185,11111111011101100100000
'12:30.039',-0.42,0.18,11111111011101100100000
'12:30.042',-0.415,0.175,11111111011110000000000
'12:30.044',-0.435,0.175,11111111011100010110000
'12:30.047',-0.44,0.17,11111111011011111100000
'12:30.050',-0.45,0.185,11111111011011001000000
'12:30.053',-0.45,0.185,11111111011011001000000
'12:30.056',-0.46,0.215,11111111011010010100000
'12:30.058',-0.46,0.2,11111111011010010100000
'12:30.061',-0.475,0.19,11111111011001000100000
'12:30.064',-0.49,0.17,11111111010111110110000
'12:30.067',-0.5,0.175,11111111010111000010000
'12:30.069',-0.49,0.175,11111111010111110110000
'12:30.072',-0.495,0.175,11111111010111011100000
'12:30.075',-0.5,0.185,11111111010111000010000
'12:30.078',-0.51,0.175,11111111010110001110000
'12:30.081',-0.515,0.17,11111111010101110010000
'12:30.083',-0.52,0.19,11111111010101011000000
'12:30.086',-0.51,0.2,11111111010110001110000
'12:30.089',-0.51,0.205,11111111010110001110000
'12:30.092',-0.5,0.19,11111111010111000010000
'12:30.094',-0.515,0.175,11111111010101110010000
'12:30.097',-0.53,0.155,11111111010100100100000
'12:30.100',-0.535,0.155,11111111010100001010000
'12:30.103',-0.52,0.175,11111111010101011000000
'12:30.106',-0.5,0.19,11111111010111000010000
'12:30.108',-0.495,0.18,11111111010111011100000
'12:30.111',-0.515,0.155,11111111010101110010000
'12:30.114',-0.535,0.145,11111111010100001010000
'12:30.117',-0.535,0.145,11111111010100001010000
'12:30.119',-0.49,0.15,11111111010111110110000
'12:30.122',-0.48,0.165,11111111011000101010000
'12:30.125',-0.475,0.17,11111111011001000100000
'12:30.128',-0.475,0.16,11111111011001000100000
'12:30.131',-0.475,0.14,11111111011001000100000
'12:30.133',-0.475,0.135,11111111011001000100000
'12:30.136',-0.45,0.15,11111111011011001000000
'12:30.139',-0.46,0.155,11111111011010010100000
'12:30.142',-0.435,0.145,11111111011100010110000
'12:30.144',-0.435,0.125,11111111011100010110000
'12:30.147',-0.445,0.135,11111111011011100010000
'12:30.150',-0.455,0.135,11111111011010101110000
'12:30.153',-0.44,0.145,11111111011011111100000
'12:30.156',-0.41,0.165,11111111011110011010000
'12:30.158',-0.395,0.145,11111111011111101000000
'12:30.161',-0.39,0.125,11111111100000000010000
'12:30.164',-0.4,0.115,11111111011111001110000
'12:30.167',-0.385,0.095,11111111100000011100000
'12:30.169',-0.39,0.115,11111111100000000010000
'12:30.172',-0.375,0.14,11111111100001010000000
'12:30.175',-0.365,0.14,11111111100010000110000
'12:30.178',-0.355,0.125,11111111100010111010000
'12:30.181',-0.355,0.12,11111111100010111010000
'12:30.183',-0.355,0.115,11111111100010111010000
'12:30.186',-0.345,0.135,11111111100011101110000
'12:30.189',-0.325,0.14,11111111100101011000000
'12:30.192',-0.32,0.14,11111111100101110010000
'12:30.194',-0.325,0.11,11111111100101011000000
'12:30.197',-0.34,0.1,11111111100100001000000
'12:30.200',-0.325,0.115,11111111100101011000000
'12:30.203',-0.31,0.12,11111111100110100110000
'12:30.206',-0.295,0.145,11111111100111110100000
'12:30.208',-0.29,0.14,11111111101000001110000
'12:30.211',-0.295,0.115,11111111100111110100000
'12:30.214',-0.3,0.115,11111111100111011010000
'12:30.217',-0.3,0.115,11111111100111011010000
'12:30.219',-0.285,0.135,11111111101000101000000
'12:30.222',-0.265,0.135,11111111101010010010000
'12:30.225',-0.26,0.13,11111111101010101100000
'12:30.228',-0.26,0.12,11111111101010101100000
'12:30.231',-0.255,0.11,11111111101011000110000
'12:30.233',-0.27,0.12,11111111101001111000000
'12:30.236',-0.25,0.12,11111111101011100000000
'12:30.239',-0.245,0.13,11111111101011111010000
'12:30.242',-0.23,0.125,11111111101101001010000
'12:30.244',-0.24,0.13,11111111101100010100000
'12:30.247',-0.24,0.12,11111111101100010100000
'12:30.250',-0.255,0.115,11111111101011000110000
'12:30.253',-0.235,0.12,11111111101100101110000
'12:30.256',-0.235,0.13,11111111101100101110000
'12:30.258',-0.205,0.12,11111111101111001100000
'12:30.261',-0.21,0.11,11111111101110110010000
'12:30.264',-0.225,0.095,11111111101101100100000
'12:30.267',-0.235,0.105,11111111101100101110000
'12:30.269',-0.22,0.12,11111111101101111110000
'12:30.272',-0.205,0.13,11111111101111001100000
'12:30.275',-0.19,0.105,11111111110000011010000
'12:30.278',-0.195,0.115,11111111110000000000000
'12:30.281',-0.205,0.09,11111111101111001100000
'12:30.283',-0.205,0.1,11111111101111001100000
'12:30.286',-0.205,0.115,11111111101111001100000
'12:30.289',-0.2,0.125,11111111101111100110000
'12:30.292',-0.18,0.12,11111111110001010000000
'12:30.294',-0.18,0.11,11111111110001010000000
'12:30.297',-0.195,0.095,11111111110000000000000
'12:30.300',-0.19,0.095,11111111110000011010000
'12:30.303',-0.185,0.11,11111111110000110110000
'12:30.306',-0.17,0.12,11111111110010000100000
'12:30.308',-0.16,0.115,11111111110010111000000
'12:30.311',-0.17,0.115,11111111110010000100000
'12:30.314',-0.185,0.12,11111111110000110110000
'12:30.317',-0.175,0.125,11111111110001101010000
'12:30.319',-0.165,0.115,11111111110010011110000
'12:30.322',-0.15,0.125,11111111110011101100000
'12:30.325',-0.14,0.125,11111111110100100000000
'12:30.328',-0.15,0.115,11111111110011101100000
'12:30.331',-0.16,0.1,11111111110010111000000
'12:30.333',-0.165,0.11,11111111110010011110000
'12:30.336',-0.155,0.125,11111111110011010010000
'12:30.339',-0.155,0.13,11111111110011010010000
'12:30.342',-0.145,0.135,11111111110100000110000
'12:30.344',-0.14,0.1,11111111110100100000000
'12:30.347',-0.15,0.11,11111111110011101100000
'12:30.350',-0.16,0.105,11111111110010111000000
'12:30.353',-0.16,0.115,11111111110010111000000
'12:30.356',-0.16,0.13,11111111110010111000000
'12:30.358',-0.16,0.13,11111111110010111000000
'12:30.361',-0.145,0.125,11111111110100000110000
'12:30.364',-0.165,0.105,11111111110010011110000
'12:30.367',-0.16,0.11,11111111110010111000000
'12:30.369',-0.14,0.125,11111111110100100000000
'12:30.372',-0.125,0.135,11111111110101110000000
'12:30.375',-0.12,0.13,11111111110110001010000
'12:30.378',-0.13,0.125,11111111110101010110000
'12:30.381',-0.145,0.115,11111111110100000110000
'12:30.383',-0.15,0.12,11111111110011101100000
'12:30.386',-0.14,0.13,11111111110100100000000
'12:30.389',-0.13,0.135,11111111110101010110000
'12:30.392',-0.115,0.125,11111111110110100100000
'12:30.394',-0.13,0.12,11111111110101010110000
'12:30.397',-0.145,0.105,11111111110100000110000
'12:30.400',-0.15,0.105,11111111110011101100000
'12:30.403',-0.13,0.13,11111111110101010110000
'12:30.406',-0.125,0.15,11111111110101110000000
'12:30.408',-0.1,0.15,11111111110111110010000
'12:30.411',-0.115,0.13,11111111110110100100000
'12:30.414',-0.13,0.11,11111111110101010110000
'12:30.417',-0.13,0.13,11111111110101010110000
'12:30.419',-0.14,0.135,11111111110100100000000
'12:30.422',-0.12,0.15,11111111110110001010000
'12:30.425',-0.1,0.15,11111111110111110010000
'12:30.428',-0.1,0.135,11111111110111110010000
'12:30.431',-0.12,0.125,11111111110110001010000
'12:30.433',-0.125,0.125,11111111110101110000000
'12:30.436',-0.11,0.145,11111111110110111110000
'12:30.439',-0.095,0.14,11111111111000001100000
'12:30.442',-0.1,0.135,11111111110111110010000
'12:30.444',-0.105,0.125,11111111110111011000000
'12:30.447',-0.11,0.12,11111111110110111110000
'12:30.450',-0.11,0.135,11111111110110111110000
'12:30.453',-0.115,0.15,11111111110110100100000
'12:30.456',-0.105,0.165,11111111110111011000000
'12:30.458',-0.095,0.14,11111111111000001100000
'12:30.461',-0.1,0.14,11111111110111110010000
'12:30.464',-0.115,0.125,11111111110110100100000
'12:30.467',-0.115,0.135,11111111110110100100000
'12:30.469',-0.12,0.14,11111111110110001010000
'12:30.472',-0.09,0.145,11111111111000101000000
'12:30.475',-0.105,0.14,11111111110111011000000
'12:30.478',-0.11,0.14,11111111110110111110000
'12:30.481',-0.105,0.115,11111111110111011000000
'12:30.483',-0.11,0.12,11111111110110111110000
'12:30.486',-0.1,0.145,11111111110111110010000
'12:30.489',-0.09,0.16,11111111111000101000000
'12:30.492',-0.08,0.145,11111111111001011100000
'12:30.494',-0.085,0.125,11111111111001000010000
'12:30.497',-0.1,0.115,11111111110111110010000
'12:30.500',-0.1,0.13,11111111110111110010000
'12:30.503',-0.095,0.145,11111111111000001100000
'12:30.506',-0.075,0.16,11111111111001110110000
'12:30.508',-0.085,0.155,11111111111001000010000
'12:30.511',-0.09,0.14,11111111111000101000000
'12:30.514',-0.095,0.135,11111111111000001100000
'12:30.517',-0.1,0.135,11111111110111110010000
'12:30.519',-0.085,0.14,11111111111001000010000
'12:30.522',-0.07,0.16,11111111111010010000000
'12:30.525',-0.075,0.155,11111111111001110110000
'12:30.528',-0.08,0.15,11111111111001011100000
'12:30.531',-0.09,0.13,11111111111000101000000
'12:30.533',-0.1,0.14,11111111110111110010000
'12:30.536',-0.09,0.15,11111111111000101000000
'12:30.539',-0.075,0.155,11111111111001110110000
'12:30.542',-0.095,0.145,11111111111000001100000
'12:30.544',-0.11,0.135,11111111110110111110000
'12:30.547',-0.115,0.135,11111111110110100100000
'12:30.550',-0.1,0.135,11111111110111110010000
'12:30.553',-0.105,0.145,11111111110111011000000
'12:30.556',-0.09,0.145,11111111111000101000000
'12:30.558',-0.085,0.15,11111111111001000010000
'12:30.561',-0.085,0.15,11111111111001000010000
'12:30.564',-0.1,0.12,11111111110111110010000
'12:30.567',-0.105,0.14,11111111110111011000000
'12:30.569',-0.105,0.14,11111111110111011000000
'12:30.572',-0.08,0.16,11111111111001011100000
'12:30.575',-0.085,0.15,11111111111001000010000
'12:30.578',-0.085,0.14,11111111111001000010000
'12:30.581',-0.095,0.13,11111111111000001100000
'12:30.583',-0.1,0.16,11111111110111110010000
'12:30.586',-0.095,0.17,11111111111000001100000
'12:30.589',-0.09,0.165,11111111111000101000000
'12:30.592',-0.08,0.16,11111111111001011100000
'12:30.594',-0.105,0.145,11111111110111011000000
'12:30.597',-0.095,0.135,11111111111000001100000
'12:30.600',-0.095,0.135,11111111111000001100000
'12:30.603',-0.085,0.135,11111111111001000010000
'12:30.606',-0.07,0.165,11111111111010010000000
'12:30.608',-0.06,0.155,11111111111011000100000
'12:30.611',-0.075,0.155,11111111111001110110000
'12:30.614',-0.08,0.15,11111111111001011100000
'12:30.617',-0.09,0.15,11111111111000101000000
'12:30.619',-0.08,0.16,11111111111001011100000
'12:30.622',-0.065,0.175,11111111111010101010000
'12:30.625',-0.065,0.17,11111111111010101010000
'12:30.628',-0.055,0.165,11111111111011011110000
'12:30.631',-0.07,0.175,11111111111010010000000
'12:30.633',-0.08,0.18,11111111111001011100000
'12:30.636',-0.06,0.195,11111111111011000100000
'12:30.639',-0.04,0.22,11111111111100101110000
'12:30.642',-0.02,0.21,11111111111110010110000
'12:30.644',-0.02,0.19,11111111111110010110000
'12:30.647',-0.03,0.16,11111111111101100010000
'12:30.650',-0.035,0.145,11111111111101001000000
'12:30.653',-0.03,0.16,11111111111101100010000
