   Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.383       49     N    0    0    0
    0:01.164      149     N    0    0    0
    0:01.695      217     S    0    0    0
    0:02.633      337     N    0    0    0
    0:03.445      441     N    0    0    0
    0:04.242      543     N    0    0    0
    0:05.047      646     N    0    0    0
    0:05.844      748     N    0    0    0
    0:06.625      848     N    0    0    0
    0:07.398      947     N    0    0    0
    0:08.172     1046     N    0    0    0
    0:08.953     1146     N    0    0    0
    0:09.484     1214     S    0    0    0
